feature,rev_lgb,rev_cat,cog_lgb,cog_cat,total
tet_on,0.0,1.7313188195323435e-05,0.0,0.0,1.7313188195323435e-05
hol_womens_day,0.0,0.0,0.0,1.6324009790182928e-05,1.6324009790182928e-05
promo_mid_year,1.463975403526548e-05,0.0,1.615047177649256e-06,0.0,1.6254801212914737e-05
promo_rural_special_disc,0.0,0.0,1.5790111859621486e-05,0.0,1.5790111859621486e-05
hol_reunification,0.0,0.0,0.0,7.920173117302315e-06,7.920173117302315e-06
promo_mid_year_disc,0.0,0.0,0.0,0.0,0.0
hol_christmas,0.0,0.0,0.0,0.0,0.0
hol_christmas_eve,0.0,0.0,0.0,0.0,0.0
hol_dd_1212,0.0,0.0,0.0,0.0,0.0
hol_dd_1111,0.0,0.0,0.0,0.0,0.0
hol_vn_womens_day,0.0,0.0,0.0,0.0,0.0
hol_national_day,0.0,0.0,0.0,0.0,0.0
hol_labor_day,0.0,0.0,0.0,0.0,0.0
hol_new_year,0.0,0.0,0.0,0.0,0.0
regime_2019,0.0,0.0,0.0,0.0,0.0
